bat_rate,homerun,bat_score,score,strike_out,steal
-0.5,1,1.06,-0.09,0.3,-0.6
1.03,2.61,2.17,2.97,0.34,-0.68
2.18,0.43,0.64,0.53,-0.99,0.27
-0.95,0.53,0.17,0,0.93,0.07
-0.82,0.17,0.12,-0.75,1.18,-0.6
0.27,1.05,1.04,0.13,0.98,-0.8
-0.18,0.48,0.35,-0.84,-0.88,-0.68
0.39,-1.02,-1.13,1.91,-0.15,3.81
-2.41,-1.13,-0.79,-1.46,0.46,-0.28
0.33,1.21,0.89,1.07,0.25,0.11
-0.82,-0.82,-1.23,-0.53,-0.67,0.71
-1.26,-0.5,-0.52,-0.26,0.78,-0.36
1.67,1.21,1.43,1.29,0.48,-0.68
0.65,0.38,0.49,0.53,-0.49,-0.44
0.14,1,1.16,-0.31,0.37,-0.88
0.84,-0.61,-0.52,0.22,-1.01,-0.24
-1.14,-0.92,-1.3,0.71,0.37,1.98
-0.18,-1.39,-1.35,0.53,-1.22,2.06
-0.56,0.01,0.22,-0.66,-0.67,-0.6
-0.95,0.59,0.42,0.36,1.95,0.47
1.29,0.59,1.01,0.49,-0.85,-0.13
-0.56,1.26,1.26,0.93,2.56,-0.72
-0.5,-0.09,-0.44,-1.86,0.16,-0.92
0.14,0.38,0.47,-0.75,-0.52,-0.6
0.39,-1.59,-1.23,-0.58,-1.53,-0.09
-0.18,0.22,-0.05,0.62,0.84,0.51
0.27,-0.82,-0.25,-1.28,0.73,-0.84
2.18,-0.61,-0.42,0.13,-1.35,-0.17
-0.5,-1.39,-1.26,-1.11,-0.72,0.03
0.01,0.01,-0.32,-0.09,0.37,0.15
0.78,0.33,0.89,0.13,0.59,-0.24
0.08,-0.76,-0.89,-1.24,-0.76,-0.56
-1.14,-1.8,-2.09,-0.75,-1.83,0.95